Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Reasons for the Emission of carbon Footprints,Solutions to take to combat the climate change
Kazakhstan,KAZ,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237250,246370,253840,219240,199170,175240,153390,132240,135840,122650,120150,117440,131059.997558594,146139.999389648,158029.998779297,169210.006713867,185300.003051758,198389.999389648,242029.998779297,213610.000610352,229699.996948242,245449.996948242,244600.006103516,260010.009765625,209229.995727539,190729.995727539,202149.993896484,214580.001831055,216600.006103516,212110.000610352,14.22," CO2 emissions from coal, oil, gas, cement and flaring","decarbonization and reduction of the carbon footprint.
"
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,2427.554,2401.885,2625.572,2856.593,2827.257,2467.891,2684.244,2702.579,2819.923,3131.618,3083.947,3685.335,3872.352,3920.023,4950.45,4976.119,4609.419,5056.793,5324.484,5038.458,6197.23,6527.26,4693.76,4660.757,4319.726,3769.676,4162.045,5174.137,4789.102,5192.472,6140,5890,5950,5860,5870,6370,6970,6640,7160,7490,8320,7610,7420.00007629395,6530.00020980835,7440.00005722046,8319.99969482422,9300.00019073486,9369.99988555908,9909.99984741211,11710.000038147,12640.0003433228,13029.9997329712,12149.9996185303,14100.0003814697,15149.9996185303,17209.9990844727,19110.0006103516,18979.9995422363,17489.9997711182,22280.0006866455,16.41,CO2 emissions from solid fuel consumption,"Increased geothermal, wind, and solar power generation"
Kyrgyz Republic,KGZ,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22760,20420,13800,10110,6550,4600,5770,5690,6040,4790,4670,3970,4969.99979019165,5590.00015258789,5559.99994277954,5300.00019073486,5320.00017166138,6469.99979019165,7510.00022888184,6760.00022888184,6349.99990463257,7619.99988555908,10060.0004196167,9380.00011444092,9710.00003814697,10270.0004577637,9699.99980926514,9430.00030517578,11250,10050.0001907349,11.46,Reduces runoff and erosion. Mitigation, Promoting low carbon and resilient development in the Kyrgyz Republic is essential for alleviating poverty and boosting the living standards
Cambodia,KHM,CO2 emissions (kt),EN.ATM.CO2E.KT,234.688,286.026,308.028,388.702,341.031,403.37,469.376,418.038,491.378,1345.789,1173.44,249.356,117.344,128.345,73.34,73.34,73.34,73.34,51.338,29.336,286.026,300.694,337.364,366.7,410.704,418.038,432.706,436.373,451.041,451.041,1260,1300,1350,1380,1480,1470,1530,1640,1880,1910,1960,2150,2210.00003814697,2380.00011444092,2380.00011444092,2660.00008583069,2960.00003814697,3660.00008583069,4059.99994277954,4750,5139.9998664856,5360.0001335144,5670.00007629395,5739.99977111816,6949.99980926514,8430.00030517578,11069.9996948242,12689.9995803833,14579.9999237061,16180.0003051758,15.82,highly vulnerable to the impacts of climate change,emissions reductions will come from more stringent energy efficiency standards and continued fuel switching to low-carbon sources.
Kiribati,KIR,CO2 emissions (kt),EN.ATM.CO2E.KT,,7.334,11.001,18.335,18.335,11.001,11.001,22.002,33.003,11.001,22.002,29.336,25.669,36.67,33.003,33.003,33.003,22.002,22.002,25.669,29.336,29.336,25.669,22.002,22.002,22.002,18.335,22.002,22.002,22.002,20,20,20,30,30,30,30,30,30,30,30,30,39.9999991059303,39.9999991059303,50.0000007450581,70.0000002980232,70.0000002980232,59.9999986588955,59.9999986588955,59.9999986588955,50.0000007450581,50.0000007450581,59.9999986588955,59.9999986588955,59.9999986588955,59.9999986588955,70.0000002980232,90.0000035762787,90.0000035762787,90.0000035762787,0.06,Carbon dioxide (CO?) emissions from fossil fuels and industry,Adopting energy efficiency measures and shifting to renewable energy are an important part of the solution to reducing global carbon emissions.
St. Kitts and Nevis,KNA,CO2 emissions (kt),EN.ATM.CO2E.KT,11.001,22.002,14.668,18.335,18.335,22.002,22.002,22.002,33.003,25.669,25.669,29.336,29.336,29.336,36.67,33.003,36.67,36.67,33.003,36.67,51.338,55.005,66.006,51.338,51.338,51.338,58.672,55.005,66.006,66.006,110,110,150,140,150,150,150,160,180,180,190,210,230.000004172325,230.000004172325,239.999994635582,219.999998807907,230.000004172325,250,250,699.999988079071,239.999994635582,280.000001192093,340.000003576279,230.000004172325,230.000004172325,239.999994635582,239.999994635582,239.999994635582,250,250,0.14,"transition our electricity away from fossil fuels towards low-carbon sources. 'Low- ...
","minimizing social, environmental, and climate footprints.
"
"Korea, Rep.",KOR,CO2 emissions (kt),EN.ATM.CO2E.KT,12552.141,14462.648,17278.904,21103.585,22218.353,25005.273,30014.395,35151.862,37242.052,42522.532,53783.889,58616.995,60336.818,73094.311,75686.88,81829.105,93306.815,105712.276,113405.642,133211.109,134868.593,139742.036,141905.566,150904.384,163911.233,178333.544,182451.585,192660.513,221959.843,235846.772,247680,274790,297050,327600,354280,385410,409990,431640,366570,401880,456660,471530,463000,465700.012207031,485910.003662109,481000,487850.006103516,503690.002441406,514919.982910156,526640.014648438,575219.970703125,598479.98046875,600320.007324219,599599.975585938,588090.026855469,607830.017089844,615880.004882813,626630.004882813,630640.014648438,610789.978027344,621.47,"The largest contributor for overall GHG emissions are CO2 emissions from energy, which increased in South Korea by 6% (2012–2017). Electricity and heat generation",The government aims to shift industry to minimise carbon emissions by halving coal-fired power generation
Kuwait,KWT,CO2 emissions (kt),EN.ATM.CO2E.KT,7803.376,9981.574,14290.299,17025.881,25335.303,35419.553,35151.862,25441.646,22442.04,26831.439,25041.943,27139.467,27634.512,24242.537,19328.757,16827.863,18474.346,17220.232,21000.909,17667.606,24675.243,25214.292,21169.591,21609.631,28367.912,29159.984,35320.544,31470.194,32914.992,35885.262,29130,7820,23050,30740,36670,36250,35630,37300,42130,45740,49840,53190,55590.0001525879,58119.9989318848,61909.9998474121,69910.0036621094,72430.0003051758,70599.9984741211,75839.9963378906,77650.0015258789,80720.0012207031,83290.0009155273,85309.9975585938,87360.0006103516,85569.9996948242,89019.9966430664,91550.0030517578,90730.0033569336,91389.9993896484,92650.0015258789,20.91,The Kuwaiti power sector proved to be the predominant stationary source of carbon dioxide (CO2) emission due to a high regional demand for electricity and water.,"the shipping, manufacturing and plant sectors"
Latin America & Caribbean (excluding high income),LAC,CO2 emissions (kt),EN.ATM.CO2E.KT,208791.646,217387.094,227951.721,231178.681,253195.349,258116.463,280353.151,297195.682,321944.265,350770.552,384888.32,418518.377,443420.974,488748.761,516801.311,541912.927,574197.195,596782.248,651130.855,693660.721,720330.812,716513.465,741328.054,709285.808,712696.118,727023.087,754950.959,797796.187,811356.753,869728.059,734540,761420,773530,795100,838460,851330,905050,961220,1004400,998710,1037660,1038510,1037720.01089901,1059440.00309706,1105920.0014025,1138730.01080751,1175959.97644961,1219939.99072909,1250109.98806357,1213999.99827147,1295859.99158025,1353869.98906732,1403080.02611995,1443429.98975515,1460979.98708487,1461880.00717759,1429679.99061942,1419129.98110056,1387759.9850744,1382399.98407662,,"CO2 comes from burning fossil fuels, cement production and land use change",The initiative aims to change the dynamics of land restoration in the region and initially focuses on bringing 20 million hectares of degraded
Lao PDR,LAO,CO2 emissions (kt),EN.ATM.CO2E.KT,80.674,113.677,132.012,146.68,172.349,179.683,234.688,319.029,168.682,319.029,572.052,421.705,487.711,517.047,293.36,253.023,223.687,231.021,231.021,223.687,187.017,150.347,157.681,179.683,183.35,205.352,209.019,212.686,212.686,231.021,510,550,600,610,640,670,780,830,850,880,900,1000,1110.00001430511,1149.99997615814,1210.00003814697,1259.99999046326,1639.99998569489,1730.00001907349,2049.99995231628,2539.99996185303,2880.00011444092,3039.99996185303,3269.99998092651,4159.99984741211,4340.00015258789,8880.00011444092,15699.9998092651,19049.9992370605,19360.0006103516,18709.9990844727,41.84,Carbon dioxide (CO?) emissions from fossil,"Lao PDR improve land use, strengthen forest protection, and enhance forest"
Lebanon,LBN,CO2 emissions (kt),EN.ATM.CO2E.KT,2581.568,2684.244,2856.593,3028.942,3267.297,3318.635,3630.33,3571.658,3700.003,4352.729,3949.359,5339.152,5727.854,7172.652,7231.324,6431.918,6127.557,5573.84,5713.186,6156.893,6178.895,6351.244,6112.889,7319.332,7051.641,8056.399,7759.372,7968.391,7660.363,8052.732,5620,7040,7020,10330,11270,13300,14120,16130,16260,17040,15670,16890,16840.0001525879,17409.9998474121,17879.9991607666,17280.0006866455,16229.9995422363,15039.999961853,18649.9996185303,21899.9996185303,20860.0006103516,21180.0003051758,23469.9993133545,23239.9997711182,25149.9996185303,27010.0002288818,27809.9994659424,29319.9996948242,27790.0009155273,27950.0007629395,26.77,Carbon dioxide (CO?) emissions from fossil fuels and industry,(1) using less energy; and/or (2) using lower-carbon energy.
Liberia,LBR,CO2 emissions (kt),EN.ATM.CO2E.KT,165.015,161.348,253.023,355.699,484.044,557.384,612.389,612.389,883.747,1272.449,1452.132,1525.472,1507.137,1481.468,1723.49,1485.135,1477.801,1474.134,1507.137,1947.177,2042.519,1939.843,601.388,711.398,700.397,722.399,729.733,766.403,817.741,667.394,450,370,400,420,420,420,440,450,490,400,430,450,449.999988079071,479.999989271164,560.000002384186,670.000016689301,689.999997615814,639.999985694885,540.000021457672,540.000021457672,730.000019073486,850.000023841858,949.999988079071,920.000016689301,1220.00002861023,1259.99999046326,1409.9999666214,1279.99997138977,1129.99999523163,1179.99994754791,1.26, the INDC is a platform to integrate its low carbon development strategy into its long-term sustainable development strategy,
Libya,LBY,CO2 emissions (kt),EN.ATM.CO2E.KT,693.063,1195.442,1048.762,1463.133,663.727,1015.759,2629.239,18507.349,30139.073,35551.565,32331.939,21646.301,15232.718,14587.326,9347.183,11580.386,17916.962,20106.161,21239.264,26032.033,26904.779,28811.619,30762.463,30414.098,28624.602,31418.856,34059.096,32566.627,36398.642,37322.726,28600,28820,26340,30580,38640,43480,45430,42200,41900,43220,44720,44450,45590.0001525879,48919.9981689453,48459.9990844727,52990.0016784668,52919.9981689453,49389.9993896484,53270.0004577637,56400.0015258789,59549.9992370605,41950.0007629395,57630.0010681152,58610.0006103516,58000,51330.0018310547,50950.0007629395,55159.9998474121,56619.9989318848,56799.9992370605,52.61,Carbon dioxide (CO?) emissions from fossil fuels and industry,carbon- neutral through massive exports of solar electricity.
St. Lucia,LCA,CO2 emissions (kt),EN.ATM.CO2E.KT,14.668,18.335,18.335,22.002,22.002,25.669,29.336,33.003,36.67,62.339,66.006,69.673,77.007,80.674,73.34,77.007,84.341,69.673,99.009,150.347,113.677,95.342,113.677,102.676,113.677,128.345,132.012,146.68,165.015,165.015,190,200,300,290,310,340,340,350,390,390,390,420,430.000007152557,449.999988079071,449.999988079071,439.999997615814,479.999989271164,479.999989271164,490.000009536743,1370.00000476837,529.999971389771,589.999973773956,750,509.999990463257,509.999990463257,500,509.999990463257,529.999971389771,529.999971389771,540.000021457672,0.29,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials","to support Saint. Lucia to become a sustainable, competitive and resilient destination, a model of environmental."
Latin America & Caribbean,LCN,CO2 emissions (kt),EN.ATM.CO2E.KT,302630.89494426,309662.067320706,328908.412046063,328599.312099281,354343.985980036,365326.344330152,383205.727998821,413009.666240927,438970.337674855,477611.555118327,527138.30442256,552797.324101196,578914.407556387,632157.804413491,666400.864782874,674556.63446302,717864.143874174,739110.110095743,793615.975410185,849417.826043664,892405.063220802,883057.582902461,907204.619708886,865409.093169942,879966.583434643,907461.582315247,924540.285398879,970838.243692753,994035.636084366,1052388.49230273,902966.21815323,929315.081764644,946681.378235803,971639.720154318,1016227.76246747,1041064.30686544,1110793.38737792,1180898.01024542,1229403.8728028,1222461.41413169,1263172.23537413,1268338.48020395,1273393.08774393,1294382.85816724,1351871.28357016,1396987.1284061,1440012.06090213,1486985.31866568,1531593.65807309,1502504.35542556,1594532.5361977,1659887.04278781,1735442.15726963,1777868.23899109,1786952.31379313,1776335.65407916,1732478.37718888,1710839.01012006,1670331.18822743,1652376.19554531,,"one of the highest export-related transportation CO2 emissions,","Planting new trees and allowing trees to regrow naturally can sequester carbon dioxide, while more effectively using already degraded landscapes for agriculture can avoid further deforestation."
Least developed countries: UN classification,LDC,CO2 emissions (kt),EN.ATM.CO2E.KT,33594.5529057139,34718.0317934333,37462.7071358964,40554.0648692014,42828.3607492896,47159.9657815857,48937.9206840264,52290.306493596,57912.1768546612,63303.6426927319,67439.4038804827,67911.7062591936,48240.1201930481,51546.2368440244,51815.0268156484,50640.0306539774,48528.1094483596,50106.2905674668,52905.5461290947,56795.321004169,59525.4591445222,58519.4166793006,57847.4417502404,59963.2028125957,61821.6934735394,63538.109435196,64521.1127599927,67781.1511301191,70591.9262619595,69966.0296137492,66332.2397498856,65739.8964234047,65852.2373991166,68621.4396187652,75579.9477604463,85196.0785451602,91211.9483447887,97400.2798418771,100768.35534521,106743.645921907,109513.177886997,117013.668947473,121540.000332519,132569.999525324,139789.999743924,146940.000774339,156140.001492575,166030.00142239,175960.001340136,191209.998762235,207980.001663789,219539.999177679,230840.002460405,249229.998132214,267840.003682301,281580.002455041,303669.99730654,324299.993688241,340499.995658174,357639.999205247,,,
Low income,LIC,CO2 emissions (kt),EN.ATM.CO2E.KT,37739.3429023399,41113.5041228025,45470.8393043296,48539.6814594293,52949.9477694979,62860.2642756571,68590.0219797928,74285.6061787349,86208.3624351869,95480.7735110646,105486.016420539,144751.373888046,124619.382272852,133523.478903865,140548.032749227,146984.042894031,150663.390286548,156590.59490958,151768.333621143,164013.839648868,166960.355207787,172181.307390151,171547.199016002,185983.606432254,200716.184226851,208469.772849677,223350.435833446,248612.250283821,277538.223902181,287524.481530993,190456.209771756,187523.002080103,172411.925213454,164048.584897366,160557.974825753,158449.484927005,152930.741325918,148753.849459647,145777.56177716,152779.404664097,159640,165480,164069.997742772,171499.999448657,177599.999040365,195919.99836266,205050.001397729,199649.996042252,213709.999516606,199170.00079155,200509.999603033,184859.997436404,177919.998332858,158599.999837577,163430.002003908,148150.000214577,158710.000410676,188730.00010848,188669.998630881,196950.002029538,,,
Liechtenstein,LIE,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,210,210,220,200,200,210,220,230,230,220,210,219.999998807907,230.000004172325,230.000004172325,230.000004172325,230.000004172325,200.000002980232,219.999998807907,209.999993443489,189.999997615814,180.000007152557,189.999997615814,189.999997615814,159.999996423721,159.999996423721,150.000005960464,159.999996423721,140.000000596046,150.000005960464,35.3,,
Sri Lanka,LKA,CO2 emissions (kt),EN.ATM.CO2E.KT,2258.872,2335.879,2563.233,2533.897,2273.54,2658.575,2662.242,2948.268,3241.628,4319.726,3597.327,3197.624,3542.322,3689.002,2933.6,2896.93,2805.255,2918.932,3450.647,3828.348,3410.31,4033.7,4499.409,4884.444,3883.353,3956.693,3703.67,4074.037,3490.984,3483.65,3840,3990,5250,5090,5770,5820,8360,8340,8610,9500,10930,10850,11390.0003433228,12409.9998474121,12869.9998855591,13979.9995422363,12399.9996185303,13590.0001525879,12810.0004196167,12289.999961853,13069.9996948242,15420.0000762939,16850.0003814697,14479.9995422363,17600.0003814697,20360.0006103516,21930.0003051758,23360.0006103516,21690.0005340576,23780.0006866455,,,
Lower middle income,LMC,CO2 emissions (kt),EN.ATM.CO2E.KT,447336.615387874,475580.383132816,508478.430231251,550722.691275773,574666.364657228,634433.470871579,673374.084960194,679451.693377621,751201.896657193,783364.552920904,880748.731547027,944735.308508727,976078.700859598,1085071.32671292,1134795.79956193,1160138.78106888,1245687.66524715,1330524.33448846,1400968.32687863,1456159.04936883,1464118.0512894,1476160.41884856,1549761.89745926,1642011.53716947,1718544.96727068,1835069.26608239,1901851.28667167,1998124.94077572,2141250.46748302,2199824.2109238,2244488.88259933,2311084.11443927,2290422.85103085,2271627.11894479,2256580.5088855,2359320.4865655,2405322.41432173,2501987.61139151,2525354.4655209,2660693.76093096,2732859.34775098,2820171.78853474,2894542.76974241,3020892.79090517,3163010.23994405,3275838.06608255,3448277.45756726,3668009.24841639,3794148.77880486,3942591.16412841,4149933.47439006,4380120.039605,4580425.5923436,4676814.58723637,4949211.39277361,5009123.57224087,5126813.03620968,5360016.6001511,5658014.18192263,5794899.3610944,,,
Low & middle income,LMY,CO2 emissions (kt),EN.ATM.CO2E.KT,3543113.06649761,3373563.20927622,3396345.16345179,3585165.87570886,3794494.13399598,4069860.99065153,4345806.89283744,4418104.23667221,4673322.94089567,5018012.95297994,5534955.85022651,6008513.82446363,6281046.45242124,6638609.41136321,6876573.83130316,7332288.83360525,7708122.32933359,8093365.26117399,8547909.01898101,8772296.65348187,8944070.40605821,8893399.82492512,9254252.7964937,9513435.60453344,9825995.57742707,10501702.7573609,10780586.1610087,11119251.2874235,11633024.0458763,11748117.4609216,8828738.3185422,8974875.56744864,8965154.99048305,9015194.80611689,8946086.00692985,9358076.15133023,9436464.272032,9568956.31207907,9695792.71578385,9731208.01026002,10144589.9819904,10464684.4944645,10867159.7391263,11748622.0087755,12738925.4587406,13657118.5350832,14590704.8245967,15482425.6884832,15963920.955004,16376067.7186584,17602120.0043937,18792572.2433513,19348790.8875842,19916289.091157,20194052.4177444,20046587.9946463,20176057.5437383,20749329.6761044,21507888.2661696,21909426.5039285,,,
Lesotho,LSO,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,350,350,360,360,370,370,380,390,390,390,400,409.999996423721,409.999996423721,430.000007152557,430.000007152557,430.000007152557,439.999997615814,460.00000834465,529.999971389771,550.000011920929,569.999992847443,620.000004768372,610.000014305115,610.000014305115,649.999976158142,689.999997615814,699.999988079071,730.000019073486,769.999980926514,0.65,,
Late-demographic dividend,LTE,CO2 emissions (kt),EN.ATM.CO2E.KT,2945884.82249761,2771099.31163496,2775328.5185699,2932012.69811429,3094317.73093263,3293728.17831631,3497323.02945403,3524684.47112199,3688450.14839465,3989267.25990712,4421632.58204515,4791565.6232693,5032295.02250829,5273044.77390562,5432414.38497753,5826432.17037742,6092158.09048563,6375696.21957019,6728566.01124479,6839953.37382193,6992464.30753436,6816393.71533129,7037906.6066687,7212540.3364932,7452964.45335714,8001650.50125315,8173797.19732889,8384091.97899107,8710105.06252448,8694902.00024691,6279667.98490623,6341401.63600497,6325141.65757786,6356465.73221155,6264091.367748,6577603.44870639,6585783.68507207,6552349.2300492,6615469.70254654,6553313.97536997,6820709.22010956,7063201.97625681,7386763.53540176,8114794.64380095,8925924.00957621,9707076.36480588,10450322.4978891,11089124.5958839,11428644.4342488,11720037.5497552,12707645.3290523,13679435.2119476,13998223.6105511,14483309.8465671,14476224.4806209,14350043.6153111,14353913.1611224,14657244.8000997,15168288.3732204,15499527.6596451,,,
Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32220,34290,19980,15740,14810,13740,14230,13920,14710,12250,10510,11150,11220.0002670288,11229.9995422363,11909.9998474121,12829.9999237061,13020.0004577637,13210.000038147,13060.0004196167,11689.9995803833,12600.0003814697,11850.0003814697,11930.0003051758,11329.9999237061,10859.9996566772,11069.9996948242,11199.9998092651,11220.0002670288,11649.9996185303,11729.9995422363,13.55,,
Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,11518.047,11591.387,11551.05,11448.374,12306.452,12203.776,11620.723,11360.366,12269.782,13193.866,13747.583,13201.2,13494.56,14169.288,14411.31,11844.41,11840.743,10927.66,11848.077,12123.102,11026.669,9427.857,8859.472,8291.087,8929.145,9167.5,9009.819,8668.788,8929.145,9658.878,11290,11750,11440,11650,10810,8660,8740,8240,7570,7920,8560,9120,9819.99969482422,10239.9997711182,11659.9998474121,11909.9998474121,11720.0002670288,11109.9996566772,11020.0004577637,10439.9995803833,11029.9997329712,10899.9996185303,10689.9995803833,10149.9996185303,9649.99961853027,9130.00011444092,8850.00038146973,9000,9319.99969482422,9489.99977111816,13.24,,
Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780,17200,13970,11760,10220,9000,9010,8530,8130,7550,6930,7360,7349.99990463257,7590.00015258789,7619.99988555908,7710.00003814697,8199.99980926514,8529.99973297119,8109.99965667725,7360.0001335144,8520.00045776367,7900.00009536743,7570.00017166138,7449.99980926514,7280.00020980835,7320.00017166138,7150.00009536743,7119.99988555908,7789.99996185303,7570.00017166138,7.45,,
"Macao SAR, China",MAC,CO2 emissions (kt),EN.ATM.CO2E.KT,51.338,69.673,95.342,106.343,128.345,132.012,150.347,165.015,168.682,168.682,205.352,227.354,231.021,223.687,267.691,297.027,253.023,308.028,414.371,414.371,528.048,535.382,484.044,682.062,605.055,733.4,876.413,971.755,964.421,1030.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,
St. Martin (French part),MAF,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,CO2 emissions (kt),EN.ATM.CO2E.KT,3641.331,3777.01,3080.28,3960.36,4422.402,4261.054,5467.497,5416.159,5628.845,5826.863,7293.663,8203.079,8049.065,9640.543,11136.679,11111.01,11547.383,12702.488,13076.522,15958.784,15944.116,15856.108,17058.884,17795.951,17814.286,17865.624,18881.383,20117.162,21176.925,22918.75,21500,23120,24880,25580,27710,28790,28480,29900,30630,32200,32880,36270,37470.0012207031,37250,40990.0016784668,43580.0018310547,45000,46349.9984741211,48630.0010681152,48750,51759.9983215332,55939.998626709,58080.0018310547,57590.0001525879,58689.998626709,60409.9998474121,60319.9996948242,63520.0004577637,64959.9990844727,71480.0033569336,67.75,,
Monaco,MCO,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.99,,
Moldova,MDA,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30530,24600,20320,17410,14140,12140,10400,9580,8650,7350,6710,7020,7179.99982833862,7769.99998092651,7780.00020980835,8180.00030517578,7980.00001907349,8140.00034332275,8149.99961853027,7639.9998664856,8300.00019073486,8340.00015258789,8140.00034332275,7179.99982833862,7710.00003814697,8020.00045776367,8140.00034332275,8060.0004196167,8539.99996185303,8859.99965667725,8.49,,
Madagascar,MDG,CO2 emissions (kt),EN.ATM.CO2E.KT,399.703,355.699,396.036,462.042,484.044,557.384,579.386,843.41,913.083,850.744,971.755,1026.76,1287.117,1074.431,1188.108,1694.154,993.757,847.077,1019.426,1133.103,1617.147,1026.76,1015.759,652.726,869.079,1056.096,1140.437,1287.117,1290.784,931.418,890,950,960,1000,1210,1370,1310,1420,1630,1670,1650,1670,1120.00000476837,1549.99995231628,1649.99997615814,1710.00003814697,1639.99998569489,1720.00002861023,1779.99997138977,1690.00005722046,1870.00000476837,2190.00005722046,2740.00000953674,2930.0000667572,3009.99999046326,3279.99997138977,3180.0000667572,3470.00002861023,3349.99990463257,4119.99988555908,4.25,,
Maldives,MDV,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,3.667,3.667,3.667,3.667,7.334,11.001,14.668,22.002,29.336,44.004,47.671,47.671,51.338,58.672,66.006,80.674,80.674,95.342,124.678,160,160,230,200,200,260,280,340,310,430,460,480,620.000004768372,529.999971389771,750,720.000028610229,870.000004768372,870.000004768372,870.000004768372,910.000026226044,959.999978542328,1009.99999046326,1139.99998569489,1129.99999523163,1370.00000476837,1370.00000476837,1759.99999046326,1860.00001430511,2099.99990463257,2109.99989509583,1.67,,
Middle East & North Africa,MEA,CO2 emissions (kt),EN.ATM.CO2E.KT,98968.8711075697,105216.515658862,114919.129723501,133496.489758526,155160.877931676,184939.934341677,211470.299522369,225756.446796897,261319.130174593,303335.046186728,322672.669177952,363150.699647785,390457.365903658,460935.201904397,467866.724300795,461832.914996075,545327.590826142,574150.067712225,605319.843583924,636916.401089371,646136.356039144,626850.241176131,632516.135279344,675448.160143231,723163.082626714,764752.217005099,816348.644864484,827658.358158818,883735.993172562,913084.5887968,863944.09564656,888015.939321849,959739.183060535,1021536.30762093,1097248.08305373,1129648.6238938,1168850.76664045,1224087.40959819,1228517.99518283,1273868.7056796,1331978.69892579,1398065.7555602,1448922.05324402,1501807.7484326,1585737.74344895,1691177.65220001,1788650.49480168,1871053.37281157,1984028.27210739,2048397.3414791,2137451.10336531,2181184.30633576,2303331.82783752,2349215.0419377,2425559.73120065,2462903.24643204,2487798.92371207,2527654.08140956,2512483.59787247,2555925.49068558,,,
Mexico,MEX,CO2 emissions (kt),EN.ATM.CO2E.KT,63116.404,65305.603,63809.467,66361.699,74278.752,75246.84,80930.69,90101.857,93988.877,102287.298,114073.036,126339.151,132459.374,144292.783,155007.757,164472.284,184138.405,192847.53,222649.239,240874.229,268453.736,284529.864,304837.71,278442.644,277624.903,288501.225,294559.109,307356.939,307067.246,361877.895,269580,288000,291680,300670,326500,306840,322700,342480,365140,355180,379180,378830,386000,404690.002441406,414100.006103516,432190.002441406,448299.987792969,457119.995117188,459549.987792969,448369.995117188,462869.995117188,478399.993896484,486450.012207031,475739.990234375,462239.990234375,471630.004882813,473309.997558594,471579.986572266,452570.007324219,449269.989013672,407.7,,
Marshall Islands,MHL,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,90,90,90,90,90,100,100,100,110,119.999997317791,109.999999403954,129.999995231628,140.000000596046,140.000000596046,140.000000596046,129.999995231628,140.000000596046,140.000000596046,140.000000596046,140.000000596046,140.000000596046,150.000005960464,150.000005960464,180.000007152557,180.000007152557,180.000007152557,180.000007152557,,,
Middle income,MIC,CO2 emissions (kt),EN.ATM.CO2E.KT,3511602.56974776,3337585.08150048,3355417.95600213,3541338.75938831,3746288.08106747,4011122.26862249,4281384.05375834,4347329.58446262,4589612.61029292,4924750.25361712,5431889.47672499,5861571.73602507,6158389.98894578,6506872.28936727,6737519.62654719,7187356.1063791,7560229.43864047,7939938.95073352,8401651.80737539,8612622.56770558,8781577.01348759,8724677.81161749,9087519.17102864,9330866.04382632,9627432.11441214,10296497.3541649,10559098.2196115,10869653.5880112,11351676.897804,11455592.9939318,8638739.10233084,8787754.50637859,8792989.29842393,8851320.10857132,8785682.93407808,9199713.5832488,9283566.62501524,9420185.62956429,9549958.67080846,9578423.46560241,9984947.57606165,10299201.3126793,10703093.2151828,11577130.7960825,12561342.1390717,13461211.6945026,14385672.5291088,15282809.82858,15750239.4334394,16176944.0985528,17401671.4740736,18607802.8744137,19170974.8233281,19757817.0765971,20030749.9451088,19898576.6494798,20017478.8743376,20560712.9036987,21319341.591518,21712598.056094,,,
